epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.399,3.49987,4.71919,4.192,0.00028,0.07738,0.00021,5e-05,3.57993,4.04224,4.13579,0.000469328,0.000469328,0.000469328
2,221.398,3.43374,4.55614,4.06826,0.0014,0.2995,0.00178,0.00039,3.29528,4.07051,3.92931,0.000945636,0.000945636,0.000945636
3,298.166,3.29648,4.5288,3.85691,0.00014,0.04762,8e-05,2e-05,3.84787,3.9942,4.14512,0.00142184,0.00142184,0.00142184
4,379.018,3.19594,4.43071,3.70092,0.49421,0.03704,0.03732,0.00835,3.27274,4.13925,3.77078,0.00142865,0.00142865,0.00142865
5,459.926,3.10599,4.41059,3.55058,0.92974,0.03704,0.04774,0.01241,3.26528,3.97948,3.64555,0.00142838,0.00142838,0.00142838
6,533.848,3.0382,4.40947,3.47088,0.00256,0.07018,0.01009,0.00217,3.13878,3.93017,3.61604,0.00142803,0.00142803,0.00142803
7,615.081,2.92871,4.37627,3.39097,0.00216,0.39867,0.02984,0.00759,2.92534,3.84737,3.4841,0.0014276,0.0014276,0.0014276
8,697.338,2.86834,4.24707,3.30432,0.88265,0.09259,0.07619,0.01617,2.92929,4.02431,3.53614,0.0014271,0.0014271,0.0014271
9,762.056,2.76303,4.16234,3.23695,0.78605,0.07407,0.08183,0.02619,2.94079,3.76524,3.46296,0.00142652,0.00142652,0.00142652
10,852.457,2.72896,4.15906,3.16756,0.73659,0.09259,0.04672,0.01619,2.87749,3.55884,3.45403,0.00142586,0.00142586,0.00142586
11,936.36,2.67283,4.09165,3.09728,0.82408,0.07407,0.0884,0.03481,2.63398,3.71752,3.29265,0.00142513,0.00142513,0.00142513
12,1000.38,2.62737,4.06157,3.05954,0.44888,0.05556,0.07514,0.03331,2.63966,3.52293,3.28777,0.00142431,0.00142431,0.00142431
13,1082.6,2.56956,3.93457,3.04841,0.84293,0.09259,0.10898,0.05634,2.5194,3.45877,3.25495,0.00142342,0.00142342,0.00142342
14,1163.69,2.52769,3.86693,2.99686,0.55027,0.12302,0.12999,0.06737,2.67326,3.98822,3.30338,0.00142246,0.00142246,0.00142246
15,1234.76,2.53651,3.90169,2.98287,0.78402,0.09259,0.09799,0.04876,2.47691,3.47508,3.17699,0.00142141,0.00142141,0.00142141
16,1319.1,2.49962,3.83556,2.9652,0.18144,0.11609,0.13048,0.05068,2.48109,3.40459,3.13243,0.00142029,0.00142029,0.00142029
17,1400.25,2.48748,3.7008,2.95471,0.87894,0.11111,0.14776,0.07467,2.39086,3.40201,3.05631,0.00141909,0.00141909,0.00141909
18,1469.09,2.45559,3.7167,2.91386,0.48863,0.13007,0.13302,0.06945,2.34809,3.33271,3.0342,0.00141782,0.00141782,0.00141782
19,1549.73,2.45031,3.57649,2.89822,0.4412,0.20109,0.24549,0.11263,2.34739,3.39157,3.04057,0.00141647,0.00141647,0.00141647
20,1631.56,2.42442,3.64761,2.88567,0.56489,0.11153,0.15107,0.0594,2.37875,3.61362,3.0044,0.00141504,0.00141504,0.00141504
21,1702.84,2.39935,3.58442,2.84562,0.8433,0.11111,0.14425,0.0717,2.2525,3.37152,2.96646,0.00141354,0.00141354,0.00141354
22,1785.72,2.36341,3.45247,2.8135,0.68378,0.20966,0.2012,0.0995,2.33445,3.17637,3.01973,0.00141196,0.00141196,0.00141196
23,1866.5,2.33256,3.42274,2.80571,0.24374,0.18452,0.19163,0.08399,2.30972,3.16534,2.98492,0.00141031,0.00141031,0.00141031
24,1940.26,2.29244,3.35,2.78489,0.21318,0.24245,0.21172,0.11594,2.24409,3.3627,2.94959,0.00140858,0.00140858,0.00140858
25,2022.49,2.33151,3.39101,2.78287,0.63761,0.16005,0.20595,0.09868,2.23624,3.1548,2.91726,0.00140678,0.00140678,0.00140678
26,2103.6,2.26845,3.2229,2.74376,0.74548,0.18819,0.2793,0.13447,2.20088,2.86406,2.86313,0.0014049,0.0014049,0.0014049
27,2169.9,2.27249,3.32822,2.73364,0.28926,0.26921,0.25662,0.11355,2.32342,3.24095,2.9116,0.00140294,0.00140294,0.00140294
28,2250.33,2.27445,3.1889,2.73126,0.25857,0.36201,0.36483,0.11786,2.21499,2.90955,2.93494,0.00140091,0.00140091,0.00140091
29,2331.24,2.22226,3.18022,2.70756,0.341,0.38137,0.33541,0.12878,2.23862,2.87936,2.92097,0.00139881,0.00139881,0.00139881
30,2406.1,2.21314,3.06243,2.67974,0.671,0.20966,0.31577,0.15922,2.17927,2.74615,2.88326,0.00139663,0.00139663,0.00139663
31,2490.36,2.20474,3.06132,2.66791,0.33601,0.3357,0.33452,0.16245,2.15223,2.81774,2.87913,0.00139438,0.00139438,0.00139438
32,2571.92,2.19463,2.9957,2.6537,0.29736,0.33217,0.32491,0.14565,2.16556,3.11865,2.84578,0.00139205,0.00139205,0.00139205
33,2644.95,2.21178,3.0295,2.65261,0.2946,0.41809,0.34983,0.15531,2.06745,2.73723,2.79482,0.00138965,0.00138965,0.00138965
34,2731.52,2.20661,2.95034,2.64104,0.40198,0.32867,0.31739,0.16626,2.099,2.64286,2.80634,0.00138718,0.00138718,0.00138718
35,2815.01,2.23559,3.03252,2.64109,0.2709,0.36108,0.31931,0.15562,2.04347,2.85478,2.77769,0.00138464,0.00138464,0.00138464
